epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.7357455492019653
,,,1,,,,,,1.1588491201400757
,,,2,,,,,,1.2157630920410156
0,0.1666666716337204,0.1111111119389534,4,,,,,0.955432653427124,
0,,,4,,,1.0569839477539062,,,
1,,,9,,,,0.869484543800354,,
,,,3,,,,,,0.7310140132904053
,,,4,,,,,,1.1374410390853882
,,,5,,,,,,1.198103666305542
1,0.1666666716337204,0.1111111119389534,9,,,,,0.9422237277030945,
1,,,9,,,0.9553505778312683,,,
,,,6,,,,,,0.7257763147354126
,,,7,,,,,,1.1208864450454712
,,,8,,,,,,1.1867237091064453
2,0.5444868803024292,0.4962962865829468,14,,,,,0.9313129782676697,
2,,,14,,,0.9349681735038757,,,
3,,,19,,,,0.7341288328170776,,
,,,9,,,,,,0.7260291576385498
,,,10,,,,,,1.0798490047454834
,,,11,,,,,,1.1349719762802124
3,0.587959885597229,0.8372092843055725,19,,,,,0.9099703431129456,
3,,,19,,,0.9198275208473206,,,
,,,12,,,,,,0.7251423597335815
,,,13,,,,,,1.0393283367156982
,,,14,,,,,,1.0827460289001465
4,0.720634937286377,0.859649121761322,24,,,,,0.8883114457130432,
4,,,24,,,0.8987855911254883,,,
5,,,29,,,,0.7306380271911621,,
,,,15,,,,,,0.7277668714523315
,,,16,,,,,,0.9843984842300415
,,,17,,,,,,1.0028866529464722
5,0.9388889074325562,0.9487179517745972,29,,,,,0.8605312705039978,
5,,,29,,,0.8619429469108582,,,
,,,18,,,,,,0.7185431718826294
,,,19,,,,,,0.9392919540405273
,,,20,,,,,,0.9510579109191895
6,0.9388889074325562,0.9487179517745972,34,,,,,0.832618772983551,
6,,,34,,,0.8297964334487915,,,
7,,,39,,,,0.7963294386863708,,
,,,21,,,,,,0.7126334309577942
,,,22,,,,,,0.8974443674087524
,,,23,,,,,,0.8809529542922974
7,0.9696342349052429,0.9722222089767456,39,,,,,0.8073393702507019,
7,,,39,,,0.7974253296852112,,,
,,,24,,,,,,0.7030861973762512
,,,25,,,,,,0.861566960811615
,,,26,,,,,,0.8356149196624756
8,1.0,1.0,44,,,,,0.783941388130188,
8,,,44,,,0.7689915299415588,,,
9,,,49,,,,0.6003685593605042,,
,,,27,,,,,,0.69843590259552
,,,28,,,,,,0.8244898319244385
,,,29,,,,,,0.7596008777618408
9,1.0,1.0,49,,,,,0.7614064812660217,
9,,,49,,,0.7488941550254822,,,
,,,30,,,,,,0.6757941842079163
,,,31,,,,,,0.7944434881210327
,,,32,,,,,,0.7248862981796265
10,1.0,1.0,54,,,,,0.7348088026046753,
10,,,54,,,0.7199941873550415,,,
11,,,59,,,,0.7316909432411194,,
,,,33,,,,,,0.6616860032081604
,,,34,,,,,,0.7547000646591187
,,,35,,,,,,0.6883057951927185
11,1.0,1.0,59,,,,,0.7075904011726379,
11,,,59,,,0.7067528367042542,,,
,,,36,,,,,,0.6529461145401001
,,,37,,,,,,0.7278968095779419
,,,38,,,,,,0.6744768619537354
12,1.0,1.0,64,,,,,0.6899383068084717,
12,,,64,,,0.6807407736778259,,,
13,,,69,,,,0.6283639669418335,,
,,,39,,,,,,0.6511147022247314
,,,40,,,,,,0.7034395933151245
,,,41,,,,,,0.655489444732666
13,0.969689130783081,0.970355749130249,69,,,,,0.676616907119751,
13,,,69,,,0.6538393497467041,,,
,,,42,,,,,,0.6330246329307556
,,,43,,,,,,0.678411066532135
,,,44,,,,,,0.6391479969024658
14,0.9848406314849854,0.9855072498321533,74,,,,,0.6552157402038574,
14,,,74,,,0.6309934258460999,,,
15,,,79,,,,0.6422603726387024,,
,,,45,,,,,,0.6033608913421631
,,,46,,,,,,0.657667875289917
,,,47,,,,,,0.6372060775756836
15,0.9696342349052429,0.9722222089767456,79,,,,,0.6307172179222107,
15,,,79,,,0.6096480488777161,,,
,,,48,,,,,,0.5881928205490112
,,,49,,,,,,0.6476836204528809
,,,50,,,,,,0.6304340362548828
16,0.9696342349052429,0.9722222089767456,84,,,,,0.6183168888092041,
16,,,84,,,0.6033093333244324,,,
17,,,89,,,,1.0466275215148926,,
,,,51,,,,,,0.5873672962188721
,,,52,,,,,,0.6346144676208496
,,,53,,,,,,0.6201367378234863
17,0.969689130783081,0.970355749130249,89,,,,,0.6112680435180664,
17,,,89,,,0.5967836976051331,,,
,,,54,,,,,,0.5720606446266174
,,,55,,,,,,0.6414234042167664
,,,56,,,,,,0.6714447736740112
18,0.9696342349052429,0.9722222089767456,94,,,,,0.6087026596069336,
18,,,94,,,0.5802843570709229,,,
19,,,99,,,,0.6243851184844971,,
,,,57,,,,,,0.5692468881607056
,,,58,,,,,,0.6442731022834778
,,,59,,,,,,0.6805850267410278
19,0.9696342349052429,0.9722222089767456,99,,,,,0.6089971661567688,
19,,,99,,,0.5793726444244385,,,
,,,0,,0.5692468881607056,,,,
,,,1,,0.6442731022834778,,,,
,,,2,,0.6805850267410278,,,,
20,,,100,0.6089971661567688,,,,,
